Country_Name,Country_Code,Series_Code,YR1990,YR2000,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015
United States,USA,SP-POP-TOTL,249623000,282162411,298379912,301231207,304093966,306771529,309347057,311721632,314112078,316497531,318857056,321191000
United States,USA,SP-POP-GROW,1.12965052,1.112768997,0.964253917,0.951055243,0.945865287,0.876651299,0.836054312,0.764677599,0.76392741,0.756558208,0.742746144,0
United States,USA,AG-SRF-TOTL-K2,9629090,9632030,9632030,9632030,9831510,9831510,9831510,9831510,9831510,9831510,9831510,9831510
United States,USA,EN-POP-DNST,27.25451361,30.79730133,32.56739985,32.87861136,33.24368685,33.53639923,33.81795709,34.07754667,34.33887129,34.59965007,34.85759438,0
United States,USA,SI-POV-NAHC,0,0,0,0,0,0,0,0,0,0,0,0
United States,USA,SI-POV-DDAY,0,0,0,0,0,0,0,0,0,0,0,0
United States,USA,NY-GNP-ATLS-CD,6.03E+12,1.02E+13,1.43E+13,1.47E+13,1.50E+13,1.47E+13,1.51E+13,1.57E+13,1.65E+13,1.70E+13,1.76E+13,0
United States,USA,NY-GNP-PCAP-CD,24150,36070,48080,48640,49330,48050,48950,50450,52530,53720,55230,0
United States,USA,NY-GNP-MKTP-PP-CD,5.92E+12,1.04E+13,1.41E+13,1.46E+13,1.48E+13,1.45E+13,1.51E+13,1.58E+13,1.66E+13,1.71E+13,1.78E+13,0
United States,USA,NY-GNP-PCAP-PP-CD,23730,36930,47390,48420,48640,47250,48880,50700,52830,54000,55900,0
United States,USA,SI-DST-FRST-20,0,5.37,0,4.67,0,0,5.09,0,0,5.1,0,0
United States,USA,SP-DYN-LE00-IN,75.21463415,76.63658537,77.68780488,77.98780488,78.03902439,78.3902439,78.54146341,78.64146341,78.74146341,78.84146341,78.94146341,79.15836585
United States,USA,SP-DYN-TFRT-IN,2.081,2.056,2.108,2.12,2.072,2.002,1.931,1.8945,1.8805,1.8575,1.8615,1.881
United States,USA,SP-ADO-TFRT,57.0788,46.4526,40.3754,39.669,37.7398,35.8106,33.8814,31.9522,30.023,27.0666,24.1102,0
United States,USA,SP-DYN-CONU-ZS,70.7,0,0,0,77.1,0,76.4,0,0,0,0,0
United States,USA,SH-STA-BRTC-ZS,0,0,0,0,0,0,99.2,0,0,0,0,0
United States,USA,SH-DYN-MORT,11.2,8.4,7.9,7.8,7.7,7.5,7.4,7.2,7.1,6.9,6.7,6.5
United States,USA,SH-STA-MALN-ZS,0,0,0,0,0,0.800000012,0,0,0.5,0,0,0
United States,USA,SH-IMM-MEAS,90,91,92,92,92,90,92,92,92,91,91,0
United States,USA,SE-PRM-CMPT-ZS,0,0,0,0,0,0,0,0,0,0,0,0
United States,USA,SE-PRM-ENRR,105.16212,102.52357,101.59885,102.7861,103.38163,102.33552,100.60182,99.89648,99.56441,99.42177,0,0
United States,USA,SE-SEC-ENRR,91.00752,93.17204,95.40375,96.07394,95.97542,95.41825,94.31131,94.67605,94.98032,95.92958,0,0
United States,USA,SE-ENR-PRSC-FM-ZS,1.00497,1.00012,1.00745,1.00754,1.00381,1.01385,1.00479,1.00869,0.9984,0.99954,0,0
United States,USA,SH-DYN-AIDS-ZS,0,0,0,0,0,0,0,0,0,0,0,0
United States,USA,AG-LND-FRST-K2,3024500,3035360,3055496,3063422,3071348,3079274,3087200,3089950,3092700,3095450,3098200,3100950
United States,USA,ER-PTD-TOTL-ZS,10.45,11.86,0,0,0,0,0,0,0,0,14.82,0
United States,USA,ER-H2O-FWTL-ZS,0,0,0,16.97657913,0,0,0,0,0,0,16.97657913,0
United States,USA,SH-H2O-SAFE-ZS,98.4,98.8,99,99,99,99.1,99.1,99.1,99.1,99.2,99.2,99.2
United States,USA,SH-STA-ACSN,99.5,99.7,99.9,99.9,99.9,99.9,99.9,100,100,100,100,100
United States,USA,SP-URB-GROW,1.410256285,1.512011391,1.17796816,1.163067761,1.156185671,1.085290294,1.041782463,0.972454438,0.971273344,0.96470557,0.951688921,0
United States,USA,EG-USE-PCAP-KG-OE,7671.773066,8056.86385,7697.652535,7758.1657,7488.081638,7056.777215,7161.512598,7029.184189,6812.284544,6914.312185,6918.518535,0
United States,USA,EN-ATM-CO2E-PC,19.32336817,20.20761476,19.11613882,19.23746045,18.48923375,17.1923791,17.48479218,17.02021634,0,0,0,0
United States,USA,EG-USE-ELEC-KH-PC,11713.3317,13671.05202,13583.26696,13657.44951,13663.42468,12913.71143,13394.01461,13240.35799,12954.15326,12985.37776,0,0
United States,USA,NY-GDP-MKTP-CD,5.98E+12,1.03E+13,1.39E+13,1.45E+13,1.47E+13,1.44E+13,1.50E+13,1.55E+13,1.62E+13,1.68E+13,1.74E+13,0
United States,USA,NY-GDP-MKTP-KD-ZG,1.919370297,4.092176449,2.666625826,1.77857024,-0.291621459,-2.775529574,2.531920616,1.601454672,2.32108446,2.219308025,2.3882,0
United States,USA,NY-GDP-DEFL-KD-ZG,3.699156703,2.275519805,3.072266625,2.661336394,1.961612383,0.759434764,1.221349397,2.064627467,1.795225175,1.490053869,1.459022319,0
United States,USA,NV-AGR-TOTL-ZS,0,1.174020704,1.043606049,1.070734297,1.14088013,1.041733964,1.163364468,1.362335156,1.29263554,1.445788947,0,0
United States,USA,NV-IND-TOTL-ZS,0,23.21464983,22.37525561,22.18859827,21.63655997,20.1505932,20.32944352,20.55663394,20.56030642,20.50203463,0,0
United States,USA,NV-SRV-TETC-ZS,0,75.61132946,76.58113835,76.74066743,77.2225599,78.80767283,78.50719202,78.0810309,78.14705804,78.05217643,0,0
United States,USA,NE-EXP-GNFS-ZS,9.229296529,10.66464335,10.65479167,11.49790694,12.51439847,11.01165643,12.37830094,13.57379201,13.59995553,13.497415,13.44451461,0
United States,USA,NE-IMP-GNFS-ZS,10.53130909,14.3185381,16.21883058,16.46102419,17.42701165,13.75417087,15.80415135,17.31137267,17.09965404,16.52936808,16.48716918,0
United States,USA,NE-GDI-TOTL-ZS,21.46999401,23.5689255,23.33301482,22.35135297,20.78624354,17.512933,18.39459751,18.54475592,19.34114484,19.42563576,19.83983007,0
United States,USA,GC-REV-XGRT-GD-ZS,18.15576314,20.50846244,18.5374615,18.61395166,17.26334854,15.66093948,10.01284919,10.90993088,11.03869677,12.3899179,19.12750499,0
United States,USA,GC-BAL-CASH-GD-ZS,-3.656437653,2.226299465,-3.511222336,-3.861078943,-6.787044958,-11.80427765,-6.828639384,-5.335010619,-3.780900985,-1.419669893,-5.065021188,0
United States,USA,IC-REG-DURS,0,0,0,0,0,0,0,0,0,6.2,5.6,5.6
United States,USA,FS-AST-DOMS-GD-ZS,145.2207504,190.9622749,226.3222905,235.7176612,216.7628909,231.3607398,227.1341493,227.2232744,235.0540843,0,253.5017183,0
United States,USA,GC-TAX-TOTL-GD-ZS,10.43650335,12.92813409,11.44856295,11.49075758,10.03044966,8.214033407,8.610805719,9.589084263,9.816299513,10.533143,11.74263732,0
United States,USA,MS-MIL-XPND-GD-ZS,5.120251576,2.933432016,3.808200528,3.847044079,4.220046469,4.636792441,4.665615102,4.583975977,4.236672066,3.815016568,3.501429474,0
United States,USA,IT-CEL-SETS-P2,2.075802366,38.46809105,76.29353842,82.06414479,85.20916517,88.62364611,91.31165202,94.44042596,96.01037609,97.07773939,110.2041935,0
United States,USA,IT-NET-USER-P2,0.784728502,43.07916264,68.93119327,75,74,71,71.69,69.72946076,79.3,84.2,87.36,0
United States,USA,TX-VAL-TECH-MF-ZS,32.52996733,33.78761058,30.05699929,27.2226646,25.92033217,21.48768979,19.96801385,18.10568304,17.77688509,17.81869687,18.22938292,0
United States,USA,IQ-SCI-OVRL,0,0,0,0,0,0,0,0,0,0,0,0
United States,USA,TG-VAL-TOTL-GD-ZS,15.22812019,19.8469797,21.24760246,21.88618514,23.48683521,18.45749965,21.70274102,24.15614036,24.01898824,23.31011716,23.15333213,0
United States,USA,TT-PRI-MRCH-XD-WD,102.7027027,100,95.95428519,96.56173695,91.81235759,98.95343627,97.10804092,94.61256811,94.68673588,95.33874813,95.88623618,0
United States,USA,DT-DOD-DECT-CD,0,0,0,0,0,0,0,0,0,0,0,0
United States,USA,DT-TDS-DECT-EX-ZS,0,0,0,0,0,0,0,0,0,0,0,0
United States,USA,SM-POP-NETM,0,0,0,5070253,0,0,0,0,5007887,0,0,0
United States,USA,BX-TRF-PWKR-CD-DT,1170000000,4395000000,5068000000,5219000000,5364000000,5740000000,5930000000,6104000000,6303000000,6757000000,6908000000,0
United States,USA,BX-KLT-DINV-CD-WD,48490000000,3.21E+11,2.94E+11,3.40E+11,3.33E+11,1.54E+11,2.59E+11,2.57E+11,2.32E+11,2.87E+11,1.32E+11,0
United States,USA,DT-ODA-ALLD-CD,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,SP-POP-TOTL,32729740,37057453,39558750,39969903,40381860,40798641,41222875,41655616,42095224,42538304,42980026,43417000
Argentina,ARG,SP-POP-GROW,1.434575571,1.110916205,1.050166529,1.033983722,1.025392833,1.02680978,1.034454869,1.044287673,1.049809261,1.047065055,1.033055553,0
